@RELATION 	Feature16

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"אוזניות הרבה יותר איכותיות   ניתן לשמוע את הבסים בצורה טובה",Positive
"עט מגע  פשוט ואוו לאיזה רמה הם הגיעו עם העט הוא ממש מועיל כשצריך אותו מה גם שהמכשיר קולט את מה שכותבים בעברית ופשוט תענוג לכתוב איתו בכתב יד גם כן",Positive
"עט מדהים ורגיש  חיישן פעימות הלב",Positive
"מגיע עם עוד 6 חודים קטנים לעט למקרה שישחק",Positive
"העט גם קטלני יש תוכנות של צייר מטורפות   ה",Positive
"יש בפלאפון הרבה מאוד גאזטים שזה ממש נחמד",Positive
"מגיע עם מטען רגיל ו usb וזוג אוזניות טובות",Positive
"כמו כן האוזניות שבאות איתו הן אחלה",Positive
"יש אפשרויות שאין בגלקסים אחרים כמו כתיבה וריחות העט זה אחד הדברים הטובים אפשר ומאד נוח לצייר איתו באפליקציות של note",Positive
"קיבלתי עם המכשיר במתנה מטען אלחוטי  זה ממש מגניב וטוב",Positive
"פלאש חזק והחיבור של האזניות למטה   כמו שצריך",Positive
"איכות מוזיקה מדהימה בטירוף  הטלפון בא עם אוזניות מיוחדות ומאוד מאוד טובות",Positive
"יש בו wifi  איכות מאוד טובה של מוסיקה באוזניות  משחקים",Positive
"מאוד אהבתי את הנגן מוזיקה והיציאה לאוזניות נותנת איכות סאונד טובה",Positive
"איכות הספיקר של המכשיר מעולה  וכך גם האוזניות הסטריאופוניות",Positive
"המכשיר מגיע עם אוזניות איכותיות אך ללא שליטה על עומצת קול דרך האוזניות",Positive
"האוזניות מעולות   שומעים מעולה",Positive
"שמע   הרמקול של הפלאפון חלש יחסית וקול אנושי נשמע בו קצת צורמני  באוזניות הדברים נשמעים נהדר  מיקום חור האוזניות הוא בתחתית הפלאפון שלשימושים מסויימים זה הגיוני ולשימושים אחרים זה מעצבן",Positive
"סוף סוף אני יכול לבצע במקביל כמה פעולות  העט הוא אופציה מדהימה  חומרה הכי חזקה שיש   מהיר מאוד  מסך מדהים  איכות התמונות שהוא מייצר לא פחות ממצוינת ואני צלם חובב  וידאו 4k אחרי שהתנסתי כחודש בנוט 4 כל סמארטפון  אחר בכלל לא אופציה",Positive
"איכות השמע באוזניות ממש איכותיות   בהרבה יותר מהאייפון ודומיו   הסוללה שלו יחסית חזקה למכשיר שבעיקר משמש להאזנה למוזיקה ולרדיו",Positive
"איכות סאונד באוזניות מדהימה  בנוסף רמקולים סטריאו חזקים",Positive
"כמו כן גם באוזניות שומעים מאוד חזק וברור המכשיר כולל בתוכו את איכות השמע של beats שלא כל כך ברור לי כיצד תורמת אבל את הלוגו שלהם     שדיי יפה חחח",Positive
"כוון שזה סצסונג יש שפע של אביזרים לקנות  כגון נרתיק מתאים  מגן טלפון צבעוני וכדומה",Positive
"הוספתי כרטיס זיכרון של 32g ואין לי בעיות מקום",Positive
"והוא המכשיר הכי טוב לאנשים שכותבים הרבה ומוכנים לשלם הרבה בשביל העט המדהים",Positive
"טעינה מהירה בטרוף  עם המטען המקורי",Positive
"יתרון ענק זה שעם המטען המקורי של הטלפון  ההטענה מהירה בטירוף  תוך שעה מ 20% אני מגיע ל99%  שזה יתרון אם רוצים להטעין ל10 דק אז זה מטעין 15 20%",Positive
"הגלקסי אס 3 נאו פשוט מעולה רכשתי אותו לפני חודש ומפתיע אותי לטובה חוץ מזה האוזניות שמקבלים איתו מעולות",Positive
