@RELATION 	Feature1

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"מצלמה מצוינת",Positive
"המצלמה והמסך מצוינים ומפיקים תמונות באיכות יוצאת מהכלל",Positive
"צילומי וידאו ניתן לבצע באיכות של 4k מדהים פשוט",Positive
"מסך 5 5 אינץ חד מאין כמותו עוצמת שמע גבוהה מצלמה סופר איכותית עם פוקוס לייזר אוטומטי מהיר ביותר בקיצור אחד המכשירים המובילים בשוק כיום ובצדק",Positive
"אחרי מעבר מאייפון 4 הייתי מרוצה עד הגג מכשיר מהיר מאוד עם מצלמה מעולה",Positive
"המצלמה מעולה עם צבעים נעימים",Positive
"מצלמה מצויינת",Positive
"פלאש חזק והחיבור של האזניות למטה כמו שצריך",Positive
"מצלמה טובה",Positive
"המצלמה של 13 מגה פיקסל מרשימה בשימוש סביר סוללה ליומיים full hd מדהים",Positive
"למצלמה לוקח קצת זמן לטפוס פוקוס אבל למראות שהיא מושמצת באינטרנט אני חושב שהיא טובה",Positive
"אפשר לצלם בחושך בצורה נורמלית",Positive
"מצלמה זמינה ואיכותית",Positive
"המסך מצוין נראה טוב המצלמה מצוינת יחסית למחיר",Positive
"מצלמה מצויינת",Positive
"המצלמה מעולה גם הסטילס וגם הוידאו",Positive
"הטלפון הכי מדהים שראיתי בחיים מצלמה טובה",Positive
"מצלמה מעולה הן ביום ובלילה וכך גם בוידאו",Positive
"המכשיר סבבה לגמרי עיצוב חיצוני יפה כך גם הממשק המצלמה לא רעה וגם המסך צבעוני ובהיר",Positive
"מהיר ונוח ביד מצלמה איכותית",Positive
"מצלמה שנראת כמו 13mp למרות שזה 8mp נראה כמו 13 ואפילו יותר",Positive
"מצלמה טובה מאוד מסך מעולה",Positive
"2 מצלמה מעולה כצלם חובב אין לי צורך בשום תוספת חיצונית לעדשה",Positive
"פלאפון פצצה נוח מצלמה טובהה",Positive
"המצלמה המצלמה היא אחת הדברים הכי טובים במכשיר הזה עם hdr בזמן אמת שמאזן את התמונה ונותן צבעים מצויינים",Positive
"phase autofocusing או focus pixels בשפה של apple שמבצע פוקוס מהיר מחדש כדי שהתמונות והוידאו יצאו חדים כמו שצריך מייצב תמונה דיגיטלי אמנם שעובד גם בצילום סרטי וידאו ועובד באמת לא כמו בhtc",Positive
"צילום וידאו ב4hd איכותי ועוד הרבה פונקציות עריכה ואפקטים מיוחדים",Positive
"המצלמה יותר טובה מהאייפון 4 הקודם בקיצור קנייה טובה מאוד",Positive
"שיפור מדהים מאייפון 4 מצלמה מצויינת עם תמונות באיכות 8 מגה פיקסל ווידאו באיכות full hd 1080p ומצלמה קידמית לשיחות וידאו איכותית מאוד",Positive
"מצלמה פצצה פלאש חזק אך עדין במראהו צילום פנורמי ועוד",Positive
"מצלמה טובה עם מלא פיצ רים נחמדים",Positive
"מצלמה קידמית ואיכות מעולה",Positive
"מצלמה נהדרת",Positive
"אבל המצלמה דיי טובה",Positive
"בסרטונים רואים מעולה הדפדפן מהיר המצלמה סבירה פלוס לא התלהבתי העברתי למחשב תמונות לא רואים משהו לא יודע לא צילמתי מספיק יש עוד הרבה מצבים של צילום שלא ניסיתי בחוץ מצלם ממש טוב וידאו מצלם מעולה",Positive
"מצלמה מאד איכותית שמע ברמה גבוהה אפשרות להורדת אפליקציות ומשחקים",Positive
"מצלמה מדהימה",Positive
"המצלמה מעולה",Positive
"מצלמה מדהימה עם hdr בזמן אמת",Positive
"יש לו מצלמה מאוד טובה",Positive
"המוצר בעל מצלמת 16 מגה פיקסל המצלמה מעולה ועושה את עבודתה",Positive
"מצלמה בעלת חדות יוצאת דופן ומניבה תמונות וסרטוני וידאו מופלאים",Positive
"מצלמה שלא תבייש מצלמות מקצועיות בכמה אלפי שקלים",Positive
"מצלמה טובה ואיכותית",Positive
"ומצלמה קדמית משופרת",Positive
"מצלמה לא מהעולם הזה",Positive
"מצלמה מדהימה",Positive
"בחרתי במוצר זה בגלל המצלמה 13 מגה פיקסל ובגלל שרציתי פלאפון עם שטח אחסון גדול",Positive
"מצלמה מעולה מכשיר יפה בקיצור כל מה שצריך במכשיר דגל",Positive
"מצלמה נהדרת המון פונקציות שימושיות",Positive
"מצלמה איכותית",Positive
"המצלמה מדהימה מפיקה תמונות איכותיות מהירה מאוד 12 צילומים תוך 3 שניות",Positive
"מצלמה 13 מגה פיקסל מצלמה אחורית 2 1 מגה פיקסל אבל נראה כמו 8 מגה פיקסל יש אפשרויות לסיגנון התמונה שחור לבן ספורט לילה זיהוי פנים פנורמה ועוד",Positive
"מצלמה טובה עם פוקוס מעולה",Positive
"המכשיר מצוין המצלמה עם ה8 מגה פיקסל מצוינת ויותר טובה מהגלקסי 3",Positive
"ומצלמה שמנצחת הכל",Positive
"ומצלמה אחלה",Positive
"המכשיר נראה טוב בעל מצלמה קדמית ואחורית איכותיות ממש",Positive
"מצלמה מהירה וועוצמת הקול חזקים מאוד ולפני שקניתי הטלפון נראה יפה",Positive
"המצלמה שלו בהרבה יותר איכותית במיוחד בצילום בלילה או בתאי אור קשים",Positive
"המצלמה טובה מאוד אך לא בהרבה יותר מהאיפון 4",Positive
"יש בו שיפורים מה דגם הקודם כמו למשל מצלמה 8 מגה פיקסל fuul hd שיפור חשוב מאד",Positive
"המצלמה טובה מאוד אך לא כזאת מדהימה הסירי לא ממש שימושי בארץ אין תמיכה בעיברית",Positive
"פלאפון מהיר רצח ומצלמה טובה",Positive
"לסמסונג גלקסי s2 מסך איכותי מעבד במהירות הבזק מדהים ומצלמה חזקה לאחד מהטלפונים החכמים הדקים ביותר בין הקלים ביותר שיש בשוק",Positive
"מצלמה טובה מסך גדול",Positive
"מצלמה 8 מגה באיכות יוצאת דופן שלא רואה ממטר מצלמות של המתחרים שלה",Positive
"לדעתי המצלמה פשוט אחלה ועושה את העבודה",Positive
"הצילום הוא מידיי ללא השתהות החיישן מעולה וכשלומדים להשתמש במצלמה היא מפיקה תמונות מצוינות",Positive
"עובד חלק מצלמה איכותית מאוד בתנאי תאורה קשים",Positive
"המצלמה שלו טובה מאוד ונותנת אפשרויות שונות של מה שאתה רוצה לצלם",Positive
"מצלמה מצויינת גם סטילס וגם וידאו",Positive
"מעבד מהיר במיוחד ומצלמה טובה",Positive
"מסך ענק ובהיר מאוד מהירות מעבד אדירה הרבה יותר טוב מאייפון 5 מצלמה מעולה והרבה פיצרים  1",Positive
"מסך מגע טוב מצלמה ווידיאו באיכות גבוהה למדיי",Positive
"טובה מאוד לצילום בחוץ",Positive
"צילום וידאו באיכות hd ואפשרות לתמונות סטילס בזמן צילום וידאו",Positive
"מצלמה נחמדה",Positive
"רץ במהירות מצלמה איכותית סוללה חזקה יחסית",Positive
"רמת צילום טובה",Positive
"מצלמה מצוינת עם פלאש מעולה",Positive
"לקנות אותו מיד כל מי שמתלבט זה הטלפון הכי טוב שיש קניתי אותו אתמול ואני מרוצה מכל רגע סוללה מעולה מצלמה מטורפת תיקנו אותו בבסט מובייל ממליץ עם 32 gb",Positive
"האפקטים של המצלמה מגניבים פנורמה ותלת מימד ועוד",Positive
"מצלמה קטלנית כבר מחכה חטוס איתו לחוייל",Positive
"החלק האחורי מחוספס בצורה יחודית ונוחה גם המצלמה מאד איכותית",Positive
"מצלמה מעולה אני מאוד מרוצה ממנה",Positive
"מצלמה מאוד טובה למרות כל הביקורות רמקולים חזקים",Positive
"והמצלמה סוף הדרך תענוג להשתמש בו",Positive
"9 מבזק של המצלמה חזק מאוד ומשמש אותי כפנס",Positive
"מצלמה מדהימה",Positive
"מצלמה יחסית טובה",Positive
"מצלמה נהדרת",Positive
"6 מצלמה איכותית",Positive
"המצלמה שלו בעלת 5mp אבל מצלמת תמונות טובות",Positive
"מצלמה מצוינת",Positive
"מכשיר שכל שקל שווה בישבילו האיכות מצויינת אותו דבר גם המצלמה",Positive
