@RELATION 	Feature17

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"ה g3 הוא ללא ספק הסמארטפון הטוב והמשתלם ביותר כיום",Positive
"אמנם המחיר יקר אבל המחיר שווה את זה",Positive
"תיראו זה מכשיר פשוט מאוד יחסית לטלפונים אחרים אך הוא שווה את המחיר והאמתי שגם טוב לילדים",Positive
"תמורה טובה למחיר",Positive
"לסיכום  אני ממליץ בחום על הטלפון הנפלא הזה לכל מי שמחפש סלולרי במחיר מעולה  ביחס לביצועיו",Positive
"טלפון טוב  ממש מציאה למחיר שלו ממש מהיר לא נתקע בכלל",Positive
"מחיר סביר מאוד לתמורה",Positive
"מחיר יותר מסביר עבור מכשיר איכותי",Positive
"מכשיר טוב  מאוד באכות סבירה במחיר לא יקר",Positive
"מחירו של המכשיר הוא זול יחסית לחומרתו  דבר שהופך אותו למכשיר אטרקטיבי מאד ולקנייה משתלמת",Positive
"מכשיר מדהים מהיר ויוקרתי   שווה כל שקל   עברתי מאייפון   לא מתחרט לרגע",Positive
"לסיכום טלפון טוב למחיר שלו בקשר למצלמה אני אעדכן בהמשך אם יהיו שינויים",Positive
"אחלה פלאפון לא נתקע בלי שום בעיות שווה לקנות כנראה למי שנתקע קנה פלאפון מזויף מכשיר זול שמביא יותר מהציפיות",Positive
"המטען המגנטי מאוד חשוב ונוח  העמידות נגד מים ואבק נותנים שקט נפשי ששווה את ההפרש במחיר מול הטלפונים המתחרים",Positive
"הוא לא מכשיר דגל הכי חזק בשוק אבל הוא כן מכשיר בעל יחס תמורה/מחיר הכי טוב היום בעולם  חוץ מxiamomi m3   הסיני שיצא עכשיו ולא יהי זמין מחוץ לסין",Positive
"קניתי את המכשיר בדצמבר 2011 בזול",Positive
"בלי עין הרע בינתיים רק מרוצה  לדעתי הפלאפון הכי טוב במחיר הזה",Positive
"בסה כ יחסית למחיר שלו היום זה המכשיר הטוב שיש בשוק",Positive
"ביחס לעלות  כמעט מושלם  אפילו הלאונצ ר איתו הוא בא נח מאד",Positive
"קניתי את הפלאפון לפני מספר שבועות הוא פלאפון טוב ויחסית זול ממליץ בחום למי שרוצה אייפון",Positive
"רכשתי את המכשיר לפני כשבוע מכשיר מאוד איכותי גולד מסך 4 7 מספיק ויפה במחיר שלו לדעתי משתלם לקנות אותו הוא גם תומך דור 4 ברשת orange",Positive
"מומלץ בחום  יש תמורה למחיר",Positive
"מכשיר מעולה למי שלא מעניין אותו  הכי טוב שיש  ויותר מעניין אותו טיב המוצר ביחס למחיר ונוחות",Positive
"בגדול הוא נותן תמורה לא רעה עבור הכסף  ויש לו פוטנציאל",Positive
"זה פשוט מכשיר מדהים וזול",Positive
"לסיכום מכשיר פשוט מדהים ובמחיר הזה אין לו מתחרים",Positive
"במיוחד במחיר כזה אני אישית כבר התקנתי לו רום חדש 4 1 2",Positive
"לדעתי שווה בהחלט את המחיר היחסית נמוך שלו",Positive
"פתרון מושלם לאנדרואיד ברמה טובה ומחיר אטרקטיבי",Positive
"מי שמשווה מכשיר זה עם מכשירי יוקרה לא בשבילו  איך בהשוואה למכשירים בינונים אחרים או תקציביים המכשיר דגם זה מנצח",Positive
"פלאפון מעולה איכותי מהיר ולא יקר מידי",Positive
"אבל נותן תמורה לכסף",Positive
"השקעה טובה למי שלא רוצה להשקיע יותר מדי כסף",Positive
"עכשיו בייחוד שהמחיר שלו הפך להיות אטרקטיבי  אין לי ספק שהוא הבחירה הנכונה",Positive
"מתאים למי שמחפש מכשיר לא גדול ופשוט יחסית במחיר שפוי",Positive
