@RELATION 	Feature5

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"מסך מ ד ה י ם",Positive
"לאלו שמתים לדעת איך המסך שלו המסך עצמו מאוד חד אולם אתם תשימו לב לחדות שלו רק בשבוע הראשון אחרי זה כבר המסך נראה רגיל אני כבר לא שם לב אליו רק כשחבר אומר לי יואו איזה מסך חד אני שם לב",Positive
"קיצר המסך הוא מאוד טוב אך עם הזמן הריגוש ממנו יורד",Positive
"אך חוץ מזה אין לי תלונות הדבר היחיד שרואים את האיכות של המסך זה כאשר מצלמים תמונה וזה הפעמים היחידות שאני שם לב למסך האיכותי",Positive
"מסך מדהים חד בצורה יוצאת מן הכלל",Positive
"למעט גודל המסך ההבדלים זניחים היו לי צפיות גדולות יותר",Positive
"מסך 5 5 אינץ חד מאין כמותו עוצמת שמע גבוהה מצלמה סופר איכותית עם פוקוס לייזר אוטומטי מהיר ביותר בקיצור אחד המכשירים המובילים בשוק כיום ובצדק",Positive
"אל תיתנו לרזולוציית המסך להטעות אתכם ולגרום לכם לחשוב שהיא תזלול לכם את הסוללה כי זה פשוט לא נכון",Positive
"המסך שלו פשוט מדהים",Positive
"רזולוציה מעולה מעבד חזק סוללה טובה מצלמה אחת הטובות שראיתי השתדרגה מהמכשירים הקודמים",Positive
"נח לשימוש תצוגה יפה ומדויקת",Positive
"אני אישית מאוד נהנתי איתו והוא אפילו המסך שלו הרבה יותר גדול משל איפון s4",Positive
"מסך מדהים ברור וחד",Positive
"מסך טוב מספיק בשבילי",Positive
"תצוגת מסך חדה וברורה",Positive
"מסך ברור ורואים טוב בשמש",Positive
"מסך גדול מאוד חשוב שהוא נוח להחזיק אות ביד למרות הגודל",Positive
"חדות המסך פשוט מעולה",Positive
"מסך מצויין אבל צבעים פחות חיים ממסכי amoled בחלק מהמקרים זה גם יתרון",Positive
"מסך חד מאוד הצבעים לא ברמה של המתחרים",Positive
"2 מסך איכותי",Positive
"המסך איכותי ביותר ובהחלט שמיש גם תחת אור שמש",Positive
"שימו לב זה לא גלאקסי s3 זה פלאפון אחר ראיתי מישהו שהתאכזב קשות ואני לא מבין למה יש לו מעבד כפול ליבה מסך 4 נוח לשימוש ולא ענק",Positive
"האיכות מסך מעולה",Positive
"מרהיב גרפיקה מרשימה אופציות רבות ואין צורך להתקין משגר בית אחר המכשיר מגיע עם משגר בית משלו עם רוב האופציות כמו ל go launcher ex בנתיים לא נתקלתי בהשעייות",Positive
"איכות תצוגה המסך הכי טוב לדעתי מכל הפלאפונים שיש בשוק",Positive
"בחרתי את המכשיר דווקא בגלל גודל המסך הרבה יותר ברור",Positive
"כמו גם מסך גדול",Positive
"המכשיר סבבה לגמרי עיצוב חיצוני יפה כך גם הממשק המצלמה לא רעה וגם המסך צבעוני ובהיר",Positive
"מכשיר מצויין מסך גדול עד עכשיו ללא תקלות",Positive
"מכשיר מעולה מכל הבחינות מסך איכותי וגדול אך לא יותר מידי גדול",Positive
"המסך חד ובהיר עם זוויות צפיה מעולות שמע באפרכסת חזק וברור",Positive
"1 מסך גדול ונוח ולבעלי יד קטנה התאמה של המסך לעבודה ביד אחת",Positive
"3 רזולוציה חבל על הזמן",Positive
"היא מתרוקנת בעיקר מהמסך כשמים בהירות גבוהה ורואים תמונה חדה אז היא היא מתרוקנת בקלות",Positive
"המסך super amoled מכוייל היטב ומציג צבעים אמיתיים וחיים ויש לו זווית צפייה מעולה לעומת מסכים כמו באייפון או הנקסוס ips כמו גם בהירות גבוהה כאשר נמצאים באור שמש חזק",Positive
"מסך איכותי full hd",Positive
"מסך מגע 4 אינץ׳ מושלם",Positive
"רכשתי את המכשיר לפני כשבוע מכשיר מאוד איכותי גולד מסך 4 7 מספיק ויפה",Positive
"המסך מצוין נראה טוב המצלמה מצוינת יחסית למחיר",Positive
"הטלפון אינו גדול מידי ונוח לאחיזה תודות למסך גדול ואיכותי המנצל היטב את כל השטח",Positive
"גלישה מהירה מסך חד ומדהים מצלמה נהדרת עם המון אפשרויות צילום",Positive
"מסך 5 hd מצוין",Positive
"מראה ומגע מאוד יוקרתי מסך מגע רטינה ששום מכשיר אנדוראיד לא מתקרב לרמה שלו",Positive
"לפי דעתי אין בפלאפון שום בעיות מסך מגע טוב יחסית גדול אבל בכל זאת נכנס בכיס",Positive
"iphone 5 של אפל הוא מכשיר הדגל אפל מכשיר דק בצרה נפלאה מסך hd 4 אניצ ה מעבד גדל בקיצור מכשיר סבבה מואד",Positive
"אל תיתנו לרזולוציית המסך להטעות אתכם ולגרום לכם לחשוב שהיא תזלול לכם את הסוללה כי זה פשוט לא נכון",Positive
"יופי של מסך",Positive
"נתחיל במסך הגדול של הפלאפון המסך של הגלקסי 3 גדול וצבעוני ונעים מאוד לשימוש יצא לי כבר לראות בו כמה סדרות וסרטים בעבודה וממש נהניתי ממנו",Positive
"מסך גדול ונוח",Positive
"הטקסט חד וברור",Positive
"הצבעים גדולים מהחיים ובהירות טובה אפילו בשמש",Positive
"מסך גדול",Positive
"למוצר מסך full hd מעולה בעל רזולוציה של 1080 1920 פיקסלים המספק 432 פיסלים לאינצ",Positive
"מעולה איכות מסך טובה",Positive
"מסך בעל חדות מעולה מעניק גוונים חיים וגודל מצוין",Positive
"בגדול טלפון מצויין אך למי שיש ברשותו גלאקסי 3 או 4 אין סיבה לשדרג מלבד המסך הגדול יותר אין בו ייתרון משמעותי נוסף",Positive
"מסך חד מאין כמותו",Positive
"מסך מצוין",Positive
"השיפור בגודל המסך ובאיכות מורגש מאוד",Positive
"המסך פשוט משאיר מאחור כל מסך אחר הצבעים כ כ ראליים ומדויקים",Positive
"מסך חד בצורה בלתי רגילה למכשירים היום",Positive
"מסך טוב מאוד",Positive
"המסך פשוט מדהים full hd בדיוק בגדול המתאים",Positive
"המסך מצוין ומאוד קל להיסתכל בשמש על המסך המעבד a5 עם שני הליבות מהיר מאוד יותר מגלקסי3 ואני אומר את זה כי זה אמיתי אני בכלל לא פריק של אפל אני גם מאוד אוהב אנדרואיד",Positive
"פלאפון מעולהה מסך חד ומקסים אהבתי את הgoogle now",Positive
"מסך חד וברור",Positive
"המסך מצוין הוא נוח לכולם והמצלמה מדויקת מאוד ותמונות יוצאות ברורות עיצוב המוצר טוב מאוד",Positive
"מסך חד וברור",Positive
"מסך של סמסונג ממש טוב איכותי וחד סאונד חזק",Positive
"המכשיר טס המסך איכותי ממש כל החברים שלי מתלהבים ממנו",Positive
"מסך מדהים מצלמה מעולה עם פוקוס מהיר ביותר סאונד טוב ורטט חזק אין שום תלונות היה לי את הסמסונג s5 ועברתי לlg g3 אין מה להשוות בכלל",Positive
"לסמסונג גלקסי s2 מסך איכותי מעבד במהירות הבזק מדהים ומצלמה חזקה לאחד מהטלפונים החכמים הדקים ביותר בין הקלים ביותר שיש בשוק",Positive
"מסך גדול וקריא מאוד בטכנולוגיה amoled",Positive
"מסך מעולה שכיף לראות אתו סרטים",Positive
"עם המסך הטוב בעולם של 469ppl ואיכות סאונד של שני רמקולים ומצלמה איכותית של 4 אלטרא פקסל ואיכות בנייה מעולה ויפה שאין מה לדבר פשוט אליגנט",Positive
"למכשיר מסך מאוד איכותי מה שמביא צבעים חדים וברורים תענוג לעניים",Positive
"טלפון איכותי בנוי לתלפיות תצוגה מעולה וסאונד אוי אוי אוי מעולה הכי טובה שיש ביטס",Positive
"יש נורית התראה לשיחות שלא נענו וגם בהודעות המקש הבית נח ללחיצה צבעים טובים במסך gps עובד ישר",Positive
"גודל מעולה מסך מצויין אנדרואיד 4 4",Positive
"המסך פשוט מטורף והרמקולים לא מהעולם הזה אחד הדברים הכי טובים שתשמעו בחיים",Positive
"מסך גדול עם רזולוציה לא רעה",Positive
"מאוד נוח לאחיזה ביחס למסך העצום שלו",Positive
"צבעים מצויינים במסך מאוד בהיר ונראה טוב גם בשמש",Positive
"הוא נוח ליד והרזולוציה גבוהה מאוד",Positive
"מסך ענק ובהיר מאוד מהירות מעבד אדירה הרבה יותר טוב מאייפון 5 מצלמה מעולה והרבה פיצרים  1",Positive
"המסך שלו מעולה חד מאוד וצבעים יפים",Positive
"מסך מגע טוב מצלמה ווידיאו באיכות גבוהה למדיי",Positive
"המסך איכותי המצלמה סבירה עם פלאש",Positive
"המכשיר מהיר מאוד נראה יוקרתי בעל מסך גדול",Positive
"מצלמה טובה מסך גדול",Positive
"מסך גדול יחסית למיני ואיכות וידאו מצויינת",Positive
"המסך הענק זה יתרון ברור",Positive
"המצלמה והמסך מצוינים ומפיקים תמונות באיכות יוצאת מהכלל",Positive
"מסך מגע מעולה",Positive
"רגישות מסך מגע מעולה",Positive
"מסך מגע מצוין בעל תמונה חדה",Positive
