@RELATION 	Feature13

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"הטלפון אינו גדול מידי ונוח לאחיזה תודות למסך גדול ואיכותי המנצל היטב את כל השטח",Positive
"4 חששתי מהגודל אבל זה ממש לא מפריע",Positive
"דק במיוחד",Positive
קל,Positive
"יש לי אותו כבר שנה עובד כמו הרגיל רק יותר קומפקטי ונכנס לכיס בקלות",Positive
"יש ברשותי את המכשיר כמה חודשים הוא עדיף על הגדולים בגלל שהוא קומפקטי",Positive
"לא מרגיש גדול למרות הגודל",Positive
"ממש קל לתפעול ממש נוח ביד לפי דעתי איכות ממש טובה",Positive
"מכשיר מדהים גדול 5 5 אך נוח לאחיזה ביד לגברים מהיר ונוח",Positive
"דק במיוחד וקל מאוד",Positive
"לאחר יומיים של שימוש במכשיר מרגיש טוב ביד טלפון גלקסי 3 נאו",Positive
"אין על אפל מצליחה תמיד להפתיעה מחדש והפעם עם מכשיר יפהפה וקל לאחיזה",Positive
"כמעט לא מורגש מרוב שהוא קל ומעבד מצויין",Positive
"מרגיש נוח ביד קליטה טובה",Positive
"נוח ביד לא מרגישים שהמסך 5 כי הוא מתפרס על כל שטח המכשיר",Positive
"מרגיש קל יותר והרבה יותר סולידי מהקודמים",Positive
"1 מספיק גדול",Positive
"5 נוח לאחיזה",Positive
"טלפון קל משקל",Positive
"ממש נוח להחזיק ביד אחת פשוט מושלם",Positive
דק,Positive
"הגודל מרגיש ממש נכון",Positive
"בנוסף מידותיו גם טובות לא קטן מדי או גדול מדי והוא גם די עמיד יחסית לפלסטיקה שלטעמי לא איכותית מספיק נפל לי המון פעמים ולא נשבר",Positive
"מהיר ונוח ביד מצלמה איכותית",Positive
"1 מסך גדול ונוח ולבעלי יד קטנה התאמה של המסך לעבודה ביד אחת",Positive
"המכשיר הדק ביותר שיש היום בשוק",Positive
"למרות זאת אחרי יומיים עם המכשיר יצא לי להחזיק את ה 4s ומיד מרגישים את ההבדל ה 5 יותר קל בצורה ניכרת יותר דק הניגודיות שגורמת לחדות טובה יותר המסך 4 אינצ מציג יותר מידע מה 3 5 אינצ ולבסוף הרבה יותר יפה",Positive
"לסיכום ברגע שמחזיקים אותו ביד יש תחושה שמחזיקים יהלום אין דרך אחרת לתאר זאת רבותי",Positive
"רזולוציה מדהימה מסך בגודל טוב",Positive
"המכשיר בעל מסך גדול יותר בדיוק באופן שבו הוא צריך להיות",Positive
"הגודל שלו פשוט מעולה למי שהגלקסי s2 מרגיש טיפ טיפה גדול אז םה מצאו את הגודל המושלם עם חומרה מעולה",Positive
"לפי דעתי אין בפלאפון שום בעיות מסך מגע טוב יחסית גדול אבל בכל זאת נכנס בכיס",Positive
"המכשיר עובד מעולה הוא בגודל נוח לכף היד עולה במחיר טוב יחסית זול עיצוב המוצר יפה והוא עובד מעולה בדיוק כמו אל ג י ג י 2 הגדול",Positive
"מסך גדול מאוד חשוב שהוא נוח להחזיק אות ביד למרות הגודל",Positive
"אבל חוץ מזה טאצ היה טוב מאוד ומכשיר מאוד נוח בגודל ואופציות שימוש רבות",Positive
"מי שפוחד מהגודל אין מה לפחד",Positive
"מכשיר דק וקל משקל מהיר מעבד 4 ליבות נוח לתפעול ומסך גדול ונוח לקריאה",Positive
"מתיישב היטב בכיס ולא גדול מדי",Positive
"נוח להחזיק",Positive
"אני אוהב את הטלפון בגלל שהוא קומפקטי ויש בו הרבה גאג טים יפים אני ממליץ מאוד על הטלפון",Positive
"הוא יושב בצורה מושלמת על היד",Positive
"דק וקל",Positive
"נוח לאחיזה ולתפעול",Positive
"מהיר במיוחד דק וקל",Positive
"iphone 5 של אפל הוא מכשיר הדגל אפל מכשיר דק בצרה נפלאה מסך hd 4 אניצ ה מעבד גדל בקיצור מכשיר סבבה מואד",Positive
"הוא קל במשקל שלו התפעול פשוט האיכות של המצלמה מצויינת",Positive
"נוח לאחיזה",Positive
"בטרייה חזקה מאוד אבל בגלל המסך הגדול אורך חיי הסוללה הוא אורך ממוצע אפשרות להרחבת זיכרון",Positive
"מכשיר מהיר וקצת יותר גדול מהקודם",Positive
